date,prospects_added,first_emails_sent,followups_sent,calls_made,voicemails_left,replies,audits_requested,audits_sent,calls_booked,sales_calls_completed,proposals_sent,closed_won,notes
2026-06-04,,,,,,,,,,,,,
2026-06-05,,,,,,,,,,,,,
2026-06-06,,,,,,,,,,,,,
2026-06-07,,,,,,,,,,,,,
2026-06-08,,,,,,,,,,,,,
2026-06-09,,4,,,,,,,,,,,"First emails sent: Della Casa Montessori; Bundles of Babies; A New Generation Childcare III; A Child's Touch. Notes added on King Soopers cart ads, AI-looking website, and Marketing 360 footprint."
2026-06-10,,,,1,,,,,,,,,"Called Bundles of Babies; they said they are already working with somebody and are not interested at this time."
2026-06-11,,,,,,,,,,,,,
2026-06-12,,,,,,,,,,,,,
2026-06-13,,,,,,,,,,,,,
2026-06-14,,,,,,,,,,,,,
2026-06-15,,,,,,,,,,,,,
2026-06-16,,,,,,,,,,,,,
2026-06-17,,,,,,,,,,,,,
2026-06-18,,,,,,,,,,,,,
2026-06-19,,,,,,,,,,,,,
2026-06-20,,,,,,,,,,,,,
2026-06-21,,,,,,,,,,,,,
2026-06-22,,,,,,,,,,,,,
2026-06-23,,,,,,,,,,,,,
2026-06-24,,,,,,,,,,,,,
2026-06-25,,,,,,,,,,,,,
2026-06-26,,,,,,,,,,,,,
2026-06-27,,,,,,,,,,,,,
2026-06-28,,,,,,,,,,,,,
2026-06-29,,,,,,,,,,,,,
2026-06-30,,,,,,,,,,,,,
