priority,stage,school_name,city_state,website,phone,email,decision_maker,lead_source,fit_summary,enrollment_signal,last_touch_date,next_touch_date,next_action,notes
A,Research Draft,Hope Montessori Academy,"Needs city verification, CO",https://www.hopeacademy.com,303-255-8151,norm.deeba@hopeacademy.com,"Norm Deeba; Genevieve Bonsall; site director varies by location",Imported user CSV / Google Maps,"Multi-site Montessori early childhood organization with Colorado leadership; potentially strong fit if outside protected market.","Montessori school; rating not captured; review count not captured",2026-06-04,,"Review draft, verify city/protected market, then decide whether to send or skip.","Use executive-level angle around location-level enrollment paths and converting parent search interest into tour requests."
A,Needs Phone Follow-up,Montessori Academy of Colorado,"Denver, CO",https://www.montessoriacademyofcolorado.org,303-623-2609,"admissions@tmaoc.com; marissa@tmaoc.com bounced 2026-06-04","Marissa Travis; Jennifer Lucero; Admissions Team",Website / Apollo research,"Private Montessori academy with multiple programs and admissions/growth leadership.","Admissions email and school-day hours public; rolling applications and tours after inquiry",2026-06-04,,"Call and ask who handles enrollment/admissions strategy; use admissions@tmaoc.com only for email.","Marissa email bounced. Jennifer Lucero LinkedIn note sent 2026-06-04. Treat Apollo email as invalid."
A,Contacted,Montessori School at Lone Tree,"Lone Tree, CO",https://montessoriatlonetree.com,303-799-8540,"frontoffice@montessoriatlonetree.com; john.pilon@montessoriatlonetree.com","John Pilon; Marilyn Papke; Marci Pilon",Website / Apollo research,"Private early-childhood Montessori with owner/operations contacts and clear enrollment economics.","Currently enrolling for Fall 2026; tour and admissions inquiry links",2026-06-04,,"Call and ask for John, Marilyn, or Marci; avoid another written touch until follow-up window.","LinkedIn touches sent to John, Marci, and Marilyn on 2026-06-04."
A,Voicemail Left,Montessori School of Denver,"Denver, CO",https://montessoridenver.org,720-606-4321,"acarr@msd-co.org; jwettstein@msd-co.org; info@msd-co.org","Amy Carr; Jennifer Wettstein; Jane Connard",Website / Apollo research,"Established private Montessori with enrollment and marketing leadership; likely has meaningful enrollment economics.","Inquiry form and schedule-a-tour language; enrollment/marketing contacts identified",2026-06-04,,"Follow up by email/LinkedIn if no response; use Amy Carr as primary contact.","Amy Carr voicemail left at extension 1007 on 2026-06-04. LinkedIn touches sent to Amy and Jennifer."
B,Contacted,A Child's Touch,"Thornton, CO",http://www.achildstouch.com/,303-286-8460,"dholman@achildstouch.com inferred; mgrillo@achildstouch.com inferred; info@achildstouch.com","Derek Holman; Mike Grillo; Ashriel Huber",Imported user CSV / Apollo research,"Established Christian early childhood program with strong trust story.","Day care center; 4.6 rating; 44 Google reviews; Request a Tour / Join Us Now path",2026-06-09,,"Call and ask for Derek Holman or whoever handles tours/enrollment.","First email sent 2026-06-09. Facebook messaged 2026-06-04. Mike Grillo LinkedIn connection sent."
B,Contacted,A New Generation Childcare III,"Thornton, CO",https://anewgenerationchild.care/,303-288-3896,"anewgeneration525@gmail.com; anewgeneration3@myyahoo.com; anewgeneration4050@gmail.com","Anita Pacheco; Jeanne Headley; Tassi Angel role unconfirmed",Imported user CSV / research,"Early education / childcare prospect with multi-location story.","Child care agency; 4.7 rating; 13 Google reviews",2026-06-09,,"Call and ask for Anita Pacheco, Jeanne Headley, or the director for enrollment/tours.","First email sent 2026-06-09. Website footer says powered by Marketing 360, so may already have marketing support."
B,New Lead,A New Generation Childcare Preschool,"Needs city verification, CO",https://anewgenerationchild.care/,303-280-1650,anewgeneration4050@gmail.com,"Anita Pacheco; Jeanne Headley; Tassi Angel role unconfirmed",Imported user CSV / research,"Early education / childcare prospect connected to A New Generation locations.","Day care center; 3.8 rating; 28 Google reviews",,,"Verify city/contact, then decide whether to treat separately or combine with A New Generation Childcare III.","Could be a duplicate/account-level opportunity instead of a separate outreach thread."
B,New Lead,Adams 14 Stars Early Learning Center,"Needs city verification, CO",http://stars.adams14.org/,303-853-5000,,Unknown,Imported user CSV,"Early education / childcare prospect; public/organizational fit may be weaker if procurement is slow.","Preschool; 4.8 rating; 11 Google reviews",,,"Verify city/contact and whether this is worth outreach before sending.","Address: 5650 Bowen Ct."
B,Contacted,Black Forest Montessori,"Colorado Springs, CO",https://blackforestmontessori.com,719-755-1265,BlackForestMontessori@gmail.com,Admissions team,Website research,"Private Montessori preschool; regional fit if capacity exists.","Admissions team schedules tours; responds within one business day",2026-06-04,,"Call after email and check Facebook/LinkedIn for manual touch.","Good fit if capacity exists."
B,New Lead,Bright Future Preschool,"Needs city verification, CO",http://www.brightfuturepreschool.org/,303-452-5004,,Unknown,Imported user CSV,"Early education / childcare prospect from user list.","Preschool; 5 rating; 53 Google reviews",,,"Verify city/contact, add one school-specific observation, then email and call.","Address: Holly St."
